Major_category,Major,Major_short
Engineering,Petroleum Engineering,Petroleum Eng.
Engineering,Mining And Mineral Engineering,Mining & Mineral Eng.
Engineering,Metallurgical Engineering,Metallurgical Eng.
Engineering,Naval Architecture And Marine Engineering,Naval Architecture & Marine Eng.
Engineering,Chemical Engineering,Chemical Eng.
Engineering,Nuclear Engineering,Nuclear Eng.
Business,Actuarial Science,Actuarial Science
Physical Sciences,Astronomy And Astrophysics,Astronomy & Astrophysics
Engineering,Mechanical Engineering,Mechanical Eng.
Engineering,Electrical Engineering,Electrical Eng.
Engineering,Computer Engineering,Computer Eng.
Engineering,Aerospace Engineering,Aerospace Eng.
Engineering,Biomedical Engineering,Biomedical Eng.
Engineering,Materials Science,Materials Science
Engineering,Engineering Mechanics Physics And Science,Eng. Mechanics Physics & Science
Engineering,Biological Engineering,Biological Eng.
Engineering,Industrial And Manufacturing Engineering,Industrial & Manufacturing Eng.
Engineering,General Engineering,General Eng.
Engineering,Architectural Engineering,Architectural Eng.
Law & Public Policy,Court Reporting,Court Reporting
Computers & Mathematics,Computer Science,Computer Science
Engineering,Electrical Engineering Technology,Electrical Eng. Technology
Engineering,Materials Engineering And Materials Science,Materials Eng. & Materials Science
Business,Management Information Systems And Statistics,Management Information Systems & Statistics
Engineering,Civil Engineering,Civil Eng.
Industrial Arts & Consumer Services,Construction Services,Construction Services
Business,Operations Logistics And E-Commerce,Operations Logistics & E-Commerce
Engineering,Miscellaneous Engineering,Miscellaneous Eng.
Law & Public Policy,Public Policy,Public Policy
Engineering,Environmental Engineering,Environmental Eng.
Engineering,Engineering Technologies,Engineering Technologies
Arts,Miscellaneous Fine Arts,Miscellaneous Fine Arts
Engineering,Geological And Geophysical Engineering,Geological & Geophysical Eng.
Health,Nursing,Nursing
Business,Finance,Finance
Social Science,Economics,Economics
Business,Business Economics,Business Economics
Engineering,Industrial Production Technologies,Industrial Production Tech.
Physical Sciences,"Nuclear, Industrial Radiology, And Biological Technologies","Nuclear, Industrial Radiology, & Biological Tech."
Business,Accounting,Accounting
Computers & Mathematics,Mathematics,Mathematics
Computers & Mathematics,Computer And Information Systems,Computer & Information Systems
Physical Sciences,Physics,Physics
Health,Medical Technologies Technicians,Medical Tech. Technicians
Computers & Mathematics,Information Sciences,Information Sciences
Computers & Mathematics,Statistics And Decision Science,Statistics & Decision Science
Computers & Mathematics,Applied Mathematics,Applied Mathematics
Biology & Life Science,Pharmacology,Pharmacology
Physical Sciences,Oceanography,Oceanography
Engineering,Engineering And Industrial Management,Eng. & Industrial Management
Health,Medical Assisting Services,Medical Assisting Services
Computers & Mathematics,Mathematics And Computer Science,Mathematics & Computer Science
Computers & Mathematics,Computer Programming And Data Processing,Computer Programming & Data Processing
Biology & Life Science,Cognitive Science And Biopsychology,Cognitive Science & Biopsychology
Education,School Student Counseling,School Student Counseling
Social Science,International Relations,International Relations
Business,General Business,General Business
Engineering,Architecture,Architecture
Business,International Business,International Business
Health,Pharmacy Pharmaceutical Sciences And Administration,Pharmacy Pharmaceutical Sciences & Admin.
Biology & Life Science,Molecular Biology,Molecular Biology
Business,Miscellaneous Business & Medical Administration,Miscellaneous Business & Medical Admin.
Agriculture & Natural Resources,Agriculture Production And Management,Agriculture Production & Management
Agriculture & Natural Resources,General Agriculture,General Agriculture
Engineering,Miscellaneous Engineering Technologies,Miscellaneous Eng. Tech.
Engineering,Mechanical Engineering Related Technologies,Mechanical Eng. Related Tech.
Biology & Life Science,Genetics,Genetics
Social Science,Miscellaneous Social Sciences,Miscellaneous Social Sciences
Humanities & Liberal Arts,United States History,United States History
Psychology & Social Work,Industrial And Organizational Psychology,Industrial & Organizational Psychology
Agriculture & Natural Resources,Agricultural Economics,Agricultural Economics
Physical Sciences,Physical Sciences,Physical Sciences
Industrial Arts & Consumer Services,Military Technologies,Military Tech.
Physical Sciences,Chemistry,Chemistry
Industrial Arts & Consumer Services,"Electrical, Mechanical, And Precision Technologies And Production","Electrical, Mech. & Precision Tech. & Production"
Business,Business Management And Administration,Business Management & Administration
Business,Marketing And Marketing Research,Marketing & Marketing Research
Social Science,Political Science And Government,Political Science & Government
Social Science,Geography,Geography
Biology & Life Science,Microbiology,Microbiology
Computers & Mathematics,Computer Administration Management And Security,Computer Administration Mgmt. & Security
Biology & Life Science,Biochemical Sciences,Biochemical Sciences
Biology & Life Science,Botany,Botany
Computers & Mathematics,Computer Networking And Telecommunications,Computer Networking & Telecommunications
Physical Sciences,Geology And Earth Science,Geology & Earth Science
Business,Human Resources And Personnel Management,Human Resources & Personnel Mgmt.
Law & Public Policy,Pre-Law And Legal Studies,Pre-Law & Legal Studies
Health,Miscellaneous Health Medical Professions,Miscellaneous Health Medical Professions
Law & Public Policy,Public Administration,Public Administration
Physical Sciences,Geosciences,Geosciences
Psychology & Social Work,Social Psychology,Social Psychology
Biology & Life Science,Environmental Science,Environmental Science
Communications & Journalism,Communications,Communications
Law & Public Policy,Criminal Justice And Fire Protection,Criminal Justice & Fire Protection
Arts,Commercial Art And Graphic Design,Commercial Art & Graphic Design
Communications & Journalism,Journalism,Journalism
Physical Sciences,Multi-Disciplinary Or General Science,Multi-Disciplinary Or General Science
Communications & Journalism,Advertising And Public Relations,Advertising & Public Relations
Humanities & Liberal Arts,Area Ethnic And Civilization Studies,Area Ethnic & Civilization Studies
Education,Special Needs Education,Special Needs Education
Biology & Life Science,Physiology,Physiology
Social Science,Criminology,Criminology
Health,Nutrition Sciences,Nutrition Sciences
Health,Health And Medical Administrative Services,Health & Medical Administrative Services
Computers & Mathematics,Communication Technologies,Communication Tech.
Industrial Arts & Consumer Services,Transportation Sciences And Technologies,Transportation Sciences & Tech.
Agriculture & Natural Resources,Natural Resources Management,Natural Resources Management
Biology & Life Science,Neuroscience,Neuroscience
Interdisciplinary,Multi/Interdisciplinary Studies,Multi/Interdisciplinary Studies
Physical Sciences,Atmospheric Sciences And Meteorology,Atmospheric Sciences & Meteorology
Agriculture & Natural Resources,Forestry,Forestry
Agriculture & Natural Resources,Soil Science,Soil Science
Education,General Education,General Education
Humanities & Liberal Arts,History,History
